Black,Brown,Blonde,Clear,Red,Blue,Yellow,pH,Dev Strength,Dev Ratio,R,G,B,HEXCode
100,0,0,0,0,0,0,0,10,50,0.00,0.00,0.00,#000000
100,0,0,0,0,0,0,0,10,50,0.00,0.00,0.00,#000000
88.57,0,0,6.86,0,4.57,0,0,10,50,4.00,5.14,13.37,#04050D
88.57,0,0,7.62,1.9,1.9,0,0,10,50,8.80,6.52,10.74,#08060A
88.57,0,0,0,2.29,0,9.14,0,10,50,24.46,15.66,5.26,#180F05
88.57,0,0,0,3.81,0,7.62,0,10,50,22.63,10.17,0.00,#160A00
88.57,3.47,0,0,6.7,0,1.26,0,10,50,9.03,2.29,2.17,#090202
88.57,0,0,0,11.43,0,0,0,10,50,20.23,5.14,4.34,#140504
88.57,1.63,0,0,0,1.63,8.16,0,10,50,6.29,7.66,4.11,#060704
88.57,4,0,0,1.71,0,5.71,0,10,50,10.52,5.26,5.49,#0A0505
77.14,0,0,13.72,0,9.14,0,0,10,50,8.00,10.29,26.75,#080A1A
65.71,0,0,20.57,0,13.72,0,0,10,50,12.00,15.43,40.12,#0C0F28
65.71,0,0,21.34,1.9,11.05,0,0,10,50,16.80,16.80,37.49,#101025
65.71,0,0,13.72,2.29,9.14,9.14,0,10,50,32.46,25.95,32.00,#201920
65.71,0,0,13.72,3.81,9.14,7.62,0,10,50,30.63,20.46,26.75,#1E141A
65.71,3.47,0,13.72,6.7,9.14,1.26,0,10,50,17.03,12.57,28.92,#110C1C
65.71,0,0,13.72,11.43,9.14,0,0,10,50,28.23,15.43,31.09,#1C0F1F
65.71,1.63,0,13.72,0,10.78,8.16,0,10,50,14.29,17.95,30.86,#0E111E
65.71,4,0,13.72,1.71,9.14,5.71,0,10,50,18.52,15.54,32.23,#120F20
77.14,0,0,15.25,3.81,3.81,0,0,10,50,17.60,13.03,21.49,#110D15
65.71,0,0,22.11,3.81,8.38,0,0,10,50,21.60,18.17,34.86,#151222
65.71,0,0,22.87,5.71,5.71,0,0,10,50,26.40,19.55,32.23,#1A1320
65.71,0,0,15.25,6.09,3.81,9.14,0,10,50,42.06,28.69,26.75,#2A1C1A
65.71,0,0,15.25,7.62,3.81,7.62,0,10,50,40.23,23.20,21.49,#281715
65.71,3.47,0,15.25,10.51,3.81,1.26,0,10,50,26.63,15.32,23.66,#1A0F17
65.71,0,0,15.25,15.24,3.81,0,0,10,50,37.83,18.17,25.83,#251219
65.71,1.63,0,15.25,3.81,5.44,8.16,0,10,50,23.89,20.69,25.60,#171419
65.71,4,0,15.25,5.52,3.81,5.71,0,10,50,28.12,18.29,26.97,#1C121A
77.14,0,0,0,4.57,0,18.29,0,10,50,48.92,31.32,10.52,#301F0A
65.71,0,0,6.86,4.57,4.57,18.29,0,10,50,52.92,36.46,23.89,#342417
65.71,0,0,7.62,6.48,1.9,18.29,0,10,50,57.72,37.83,21.26,#392515
65.71,0,0,0,6.86,0,27.43,0,10,50,73.38,46.98,15.77,#492E0F
65.71,0,0,0,8.38,0,25.91,0,10,50,71.55,41.49,10.52,#47290A
65.71,3.47,0,0,11.27,0,19.54,0,10,50,57.95,33.60,12.69,#39210C
65.71,0,0,0,16,0,18.29,0,10,50,69.15,36.46,14.86,#45240E
65.71,1.63,0,0,4.57,1.63,26.45,0,10,50,55.21,38.98,14.63,#37260E
65.71,4,0,0,6.29,0,24,0,10,50,59.44,36.58,16.00,#3B2410
77.14,0,0,0,7.62,0,15.24,0,10,50,45.26,20.35,0.00,#2D1400
65.71,0,0,6.86,7.62,4.57,15.24,0,10,50,49.26,25.49,13.37,#31190D
65.71,0,0,7.62,9.52,1.9,15.24,0,10,50,54.06,26.86,10.74,#361A0A
65.71,0,0,0,9.91,0,24.38,0,10,50,69.72,36.00,5.26,#452405
